Scope of Work,LBE_Count,Total_Subs,LBE_Rate,Total_Dollars,LBE_Dollar_Share
Profiling and CAD Design,0,1,0.0,40000.0,0.0
CCTV,0,1,0.0,36600.0,0.0
Transportation of Class II Waste to Landfill,1,1,1.0,36000.0,1.0
Reinforcing Steel,1,1,1.0,30940.0,1.0
Raise Manholes to Grade & Stockpile Management,1,1,1.0,30000.0,1.0
Painting & Coating,0,1,0.0,28200.0,0.0
CIPL Work,0,1,0.0,26555.0,0.0
Coating ,0,1,0.0,25350.0,0.0
Tree Removal & Disposal,0,1,0.0,20800.0,0.0
Concrete Manhole,1,1,1.0,20000.0,1.0
Grinding,1,1,1.0,20000.0,1.0
Misc Metals,1,1,1.0,19980.0,1.0
Materials Testing and Inspection Services,1,1,1.0,12335.0,1.0
Traffic control plans and CPM Scheduling,0,1,0.0,7700.0,0.0
Temp Wildlife Exclusion Fence (Bid Item C-3),1,1,1.0,6292.0,1.0
