ScopeOfWork,ScopeHHI,NumSubcontractors,ScopeTotalSub,ConcentrationLevel
"SW-03A-Partial, SW-25, SW-36, SW-37, SW-38",5174.5407068645945,2,247060.0,Highly Concentrated
"SW-32-Partial, SW-33-Partial, SW-40-Partial",10000.0,1,252500.0,Highly Concentrated
"SW-4 (5-10 Partial), PR 1, 4-11, 15, 16",10000.0,1,800000.0,Highly Concentrated
"SW-4, SW-7 to SW-14",10000.0,1,277439.0,Highly Concentrated
"SW-5, 13, 14, 15, 26",10000.0,1,92314.0,Highly Concentrated
"SW-5, 13, 14, 15, 26, 34",10000.0,1,92000.0,Highly Concentrated
"SW-5, 13. 14",10000.0,1,92314.0,Highly Concentrated
SW-8 Bases Only,10000.0,1,49000.0,Highly Concentrated
Saw Cutting,3358.622939722426,3,799225.0,Highly Concentrated
Saw Cutting - Partial,10000.0,1,31250.0,Highly Concentrated
Sawcut,10000.0,1,200000.0,Highly Concentrated
Scaffold,10000.0,1,44813.68,Highly Concentrated
Shoring,10000.0,1,1695000.0,Highly Concentrated
Shotcrete,10000.0,1,131250.0,Highly Concentrated
"Site Work, Bldg Pad, Utilities",10000.0,1,155450.0,Highly Concentrated
Soil Sampling,10000.0,1,74000.0,Highly Concentrated
Special Inspection - Partials,10000.0,1,70150.0,Highly Concentrated
Special Paving,10000.0,1,43470.0,Highly Concentrated
Special Paving at Crosswalk,10000.0,1,43470.0,Highly Concentrated
Stone Columns,10000.0,1,450000.0,Highly Concentrated
Streetbase,10000.0,1,250000.0,Highly Concentrated
Structural Work (Consolidated),2269.550920251706,11,9040591.0,Moderately Concentrated
"Supply/Install Vaults (partial), FTB",10000.0,1,3800000.0,Highly Concentrated
Sweeping & Equipment rental,10000.0,1,100000.0,Highly Concentrated
Temp Wildlife Exclusion Fence (Bid Item C-3),10000.0,1,6292.0,Highly Concentrated
Testing,10000.0,1,3000.0,Highly Concentrated
Torque Down Piles,3611.5279307779297,3,605546.0,Highly Concentrated
Traffic Control & Sawcutting (Consolidated),1770.5868771019825,14,14276558.75,Moderately Concentrated
Tree Removal,10000.0,1,47100.0,Highly Concentrated
Tree Removal & Disposal,5000.0,2,41600.0,Highly Concentrated
Trucking & Hauling (Consolidated),1173.5472101201299,15,6368804.47,Unconcentrated
Tunnel/microtunnel,10000.0,1,5927200.0,Highly Concentrated
Tunneling,10000.0,1,6187000.0,Highly Concentrated
Unknown/Unspecified Scope,5004.456792010295,2,1498746.0,Highly Concentrated
WTS Systems (Bid Item #2 and #3),10000.0,1,3977601.0,Highly Concentrated
Welding,10000.0,1,100000.0,Highly Concentrated
Wildlife Exclusion Fence,10000.0,1,1642.0,Highly Concentrated
