Contractor Name,Total_Dollars,Is_LBE,Scope_Count
Kirk Builders,101672.0,True,1
SAK Construction,100450.0,False,1
Geo-Cell Solutions,100000.0,False,1
Team North Construction Services Inc,100000.0,True,1
Thomas J's Welding,100000.0,False,1
Transpac Engineering,100000.0,True,1
San Francisco Roofing Services,92500.0,True,1
Alex Sweeney Construction,80000.0,True,1
Interstate Grading and Paving,77331.0,False,1
"E. Mitchell, Inc.",68175.0,True,1
The Professional Tree Care Co.,67900.0,False,2
"Tidal Marine Construction, Inc.",60786.0,False,1
Cell-crete Corporation,59978.5,False,1
Con Foam,57000.0,False,1
Bay-Con Infrastructure,51450.0,False,2
RES/Russo Environmental Services,50000.0,False,1
Rhodium Integrated Services,44813.68,False,1
Win Structural Consulting,35000.0,True,1
Ponder Environmental Services,30000.0,False,1
"Duran & Venables, Inc.",25500.0,False,1
FD Thomas Inc.,25350.0,False,1
Dowdle & Sons Mechanical Inc.,25250.0,False,1
HVYW8,25000.0,True,1
Bay Area Lightworks Inc,22000.0,True,1
Professional Tree Care,20800.0,False,1
CMC Traffic Control Specialists  ,20000.0,True,1
Sheedy Drayage Co.,11000.0,False,1
Corr Pro,10500.0,False,1
ABSL Construction,9800.0,False,1
Team EES,6292.0,True,1
Ertec Environmental Systems,1642.0,False,1
