Scope of Work,LBE_Count,Total_Subs,LBE_Rate,Total_Dollars,LBE_Dollar_Share
Modulars,0,2,0.0,747572.0,0.0
"9A, 15B, Parcel",1,1,1.0,700000.0,1.0
"Concrete Flatwork, Sawcutting, Traffic Control",1,1,1.0,680000.0,1.0
Earth Work,1,1,1.0,673729.0,1.0
"Roofing, Wall Panels, Waterproofing",1,1,1.0,660630.0,1.0
"Survey, SWPPP, Materials Testing",1,1,1.0,650000.0,1.0
Partial Trucking,2,2,1.0,647500.0,1.0
"Chain link and agricultural fences, Gates",0,1,0.0,641025.0,0.0
Geotechnical work,0,1,0.0,626000.0,0.0
Furnish and install protective coatings,0,1,0.0,616328.0,0.0
Bid Item 6,1,1,1.0,615000.0,1.0
Paving,2,2,1.0,613484.0,1.0
Concrete Manholes & Concrete Work,1,1,1.0,612000.0,1.0
Torque Down Piles,0,3,0.0,605546.0,0.0
Ground Improvements,0,1,0.0,603600.0,0.0
Excavation,1,1,1.0,600000.0,1.0
Materials Testing and Special Inspections Services (QC Services),0,1,0.0,600000.0,0.0
Paving & AWSS,1,1,1.0,597000.0,1.0
Pavement Restoration,1,1,1.0,592900.0,1.0
Mill and Fill Sawcutting,1,1,1.0,590568.75,1.0
"Grinding, Paving",1,1,1.0,558000.0,1.0
Sawcutting,7,7,1.0,553000.0,1.0
"AC Paving, Sawcutting, Traffic",1,1,1.0,550000.0,1.0
"Concrete, furnish and install flap gates",1,1,1.0,550000.0,1.0
"Grinding, Paving, and Concrete Work Partial",1,1,1.0,545000.0,1.0
Grind & Pave,1,1,1.0,512380.0,1.0
Steel,1,1,1.0,497000.0,1.0
Did not list,1,1,1.0,497000.0,1.0
Manhole Mortar and Sewer Lining,0,1,0.0,491969.0,0.0
Stone Columns,0,1,0.0,450000.0,0.0
Concrete Flatwork (partial),1,1,1.0,447000.0,1.0
Piles,0,2,0.0,445666.0,0.0
AWSS & Roadway Design & Pre Construction Surveying,0,2,0.0,440000.0,0.0
No info,1,2,0.5,438000.0,0.2876712328767123
Trucking Partial,1,2,0.5,425456.47,0.17628125387304605
Electric,3,3,1.0,420869.0,1.0
Concrete (Partial),2,2,1.0,400000.0,1.0
Partial Sewer,1,1,1.0,400000.0,1.0
Partial Concrete,1,1,1.0,396570.0,1.0
Bypass,0,1,0.0,387500.0,0.0
"Sewer cleaning, diversion, bypass, & TV Inspection",0,1,0.0,387500.0,0.0
Electrical & Instrumentation,2,2,1.0,373900.0,1.0
Modular Bldgs + Ramps,0,1,0.0,370530.0,0.0
Modular Offices & Ramps,0,1,0.0,367786.0,0.0
Concrete structures,1,1,1.0,365860.0,1.0
"Paving, saw cutting, traffic control",1,1,1.0,365000.0,1.0
Drilling,2,2,1.0,354408.0,1.0
Manholes & Structural Work (Partial),1,1,1.0,352253.0,1.0
Partial Traffic Control,1,1,1.0,348500.0,1.0
"Paving, concrete, saw cutting, traffic control",1,1,1.0,348450.0,1.0
"Sewer, Concrete Flatwork",1,1,1.0,337233.0,1.0
Plumbing & Contract Management,1,1,1.0,337000.0,1.0
Trucking (Partial),3,3,1.0,330000.0,1.0
Sewer cleaning,0,2,0.0,328946.0,0.0
Fiber Optics,0,1,0.0,318765.0,0.0
Rebar,0,2,0.0,303922.0,0.0
CIPL & MH Mortar,0,2,0.0,303079.0,0.0
Jet Grouting,0,1,0.0,300000.0,0.0
Structural Cone,1,1,1.0,300000.0,1.0
"2, 3, 10, 11, 16, 17, 19",1,1,1.0,299765.0,1.0
Water and Concrete,1,1,1.0,297000.0,1.0
"Electrical, IT, Comm",1,1,1.0,288600.0,1.0
Electrical + Communications,0,1,0.0,282000.0,0.0
Lining mortar,0,1,0.0,277439.0,0.0
"SW-4, SW-7 to SW-14",0,1,0.0,277439.0,0.0
Sewer Work (Partial),1,1,1.0,270000.0,1.0
NETA Testing,0,1,0.0,270000.0,0.0
Traffic Control (Partial),5,5,1.0,270000.0,1.0
"Demo, Street Base, Concrete",1,1,1.0,270000.0,1.0
PR Bid Items,1,1,1.0,261650.0,1.0
Electrical Work,1,1,1.0,260000.0,1.0
"Electrical, I&C Scope",1,1,1.0,255000.0,1.0
"""Tarqe"" down piles",0,1,0.0,254190.0,0.0
"SW-32-Partial, SW-33-Partial, SW-40-Partial",1,1,1.0,252500.0,1.0
Streetbase,1,1,1.0,250000.0,1.0
Coating and lining work,0,1,0.0,250000.0,0.0
Geotechnical instrumentation,0,1,0.0,250000.0,0.0
Painting,0,1,0.0,249394.0,0.0
"SW-03A-Partial, SW-25, SW-36, SW-37, SW-38",0,2,0.0,247060.0,0.0
Plumbing,3,4,0.75,240825.0,0.8951520813868992
Conc. Flatwork & Large MH Bases,1,1,1.0,236408.0,1.0
"Bid Items 3, 5B, 6A, 16A and 16B",1,1,1.0,230000.0,1.0
Lining & Manhole Mortar,0,1,0.0,228840.0,0.0
Concrete Flatwork + Concrete Street Base (for SW-13 Sewer),1,1,1.0,228700.0,1.0
CIPP,0,1,0.0,227000.0,0.0
Partial Fence Installation & Traffic Control,1,1,1.0,215000.0,1.0
"Demo (partial), excavation (partial)",1,1,1.0,210000.0,1.0
Medium Voltage Terminations,0,1,0.0,207650.0,0.0
"Pipe, Irrigation, Tags",1,1,1.0,200000.0,1.0
Sawcut,1,1,1.0,200000.0,1.0
AC Mill & Fill,1,1,1.0,197000.0,1.0
Surveying,1,1,1.0,188600.0,1.0
"Fabrication, Installation of Steel",1,1,1.0,180855.0,1.0
AC & Grinding,1,1,1.0,179000.0,1.0
Architectural Steel Enclosure,1,1,1.0,175059.0,1.0
Metal Fabrications,1,1,1.0,175000.0,1.0
Crack repair (partial),1,1,1.0,175000.0,1.0
"Traffic Control, Excavation, Concrete",0,1,0.0,172000.0,0.0
Structural Demolition,0,1,0.0,168800.0,0.0
"Earthwork, piping, grinder, pump, sewage",1,1,1.0,168700.0,1.0
"Civil, Utilities",1,1,1.0,168700.0,1.0
Glazing,0,1,0.0,166600.0,0.0
Curtain Wall & Glazing,0,1,0.0,166600.0,0.0
Cast in place Concrete (Partial),1,1,1.0,161690.0,1.0
"Items 36, 37, 38, 49, 40",1,1,1.0,159899.0,1.0
"Site Work, Bldg Pad, Utilities",1,1,1.0,155450.0,1.0
Traffic Control Work - Partial,1,1,1.0,150000.0,1.0
Sawcutting (Partial),2,2,1.0,150000.0,1.0
D2 & D3 (partial),1,1,1.0,150000.0,1.0
Trucking - Partial,2,2,1.0,150000.0,1.0
Traffic Control Drawings,1,1,1.0,135000.0,1.0
HASP/SWPPP,1,1,1.0,135000.0,1.0
"Electrical, IT, Communications",1,1,1.0,134969.0,1.0
Shotcrete,0,1,0.0,131250.0,0.0
Demolition/Brushing,1,1,1.0,122790.0,1.0
CCTV,0,2,0.0,122600.0,0.0
Drywall,1,1,1.0,120947.0,1.0
Structural Steel Install,0,1,0.0,109200.0,0.0
Metal Framing & Drywall,1,1,1.0,101672.0,1.0
Cellular concrete work,0,1,0.0,100000.0,0.0
Transport & Trucking,0,1,0.0,100000.0,0.0
Welding,0,1,0.0,100000.0,0.0
Surveying ,1,1,1.0,100000.0,1.0
Utilities profiling & CAD design,1,1,1.0,100000.0,1.0
Sweeping & Equipment rental,1,1,1.0,100000.0,1.0
"Shoring & excavation (partial), traffic control",1,1,1.0,95300.0,1.0
Roofing,1,1,1.0,92500.0,1.0
MH & Sewer Mortar,0,1,0.0,92314.0,0.0
"SW-5, 13, 14, 15, 26",0,1,0.0,92314.0,0.0
"SW-5, 13. 14",0,1,0.0,92314.0,0.0
"SW-5, 13, 14, 15, 26, 34",0,1,0.0,92000.0,0.0
Partial excavation and backfill,1,1,1.0,80000.0,1.0
Asphalt Paving,1,1,1.0,80000.0,1.0
Milling & Filling,1,1,1.0,78950.0,1.0
Asphalt Concrete Milling,1,1,1.0,78000.0,1.0
Mortaring Work,0,1,0.0,76934.0,0.0
Soil Sampling,0,1,0.0,74000.0,0.0
Special Inspection - Partials,1,1,1.0,70150.0,1.0
Partial saw cutting,2,2,1.0,70000.0,1.0
Concrete work,1,1,1.0,65000.0,1.0
"B/1 SW4,8-13,20 & 32",0,1,0.0,63702.0,0.0
CIPP Work + Mortar Manhole,0,1,0.0,63700.0,0.0
Jackson outfall bulkhead,0,1,0.0,60786.0,0.0
Cellular concrete fill,0,1,0.0,59978.5,0.0
Phase II ESA/Soil Profiling,1,1,1.0,57800.0,1.0
Cellular Concrete,0,1,0.0,57000.0,0.0
Manhole Mortaring,0,1,0.0,50450.0,0.0
Traffic Control - Partial,1,1,1.0,50000.0,1.0
P1-P5,1,1,1.0,50000.0,1.0
Geotechnical & Structural Engineering,1,1,1.0,50000.0,1.0
Sawcutting - Partial,1,1,1.0,50000.0,1.0
QC,0,1,0.0,50000.0,0.0
Miscellaneous metal work,1,1,1.0,49700.0,1.0
SW-8 Bases Only,1,1,1.0,49000.0,1.0
Tree Removal,0,3,0.0,47100.0,0.0
Scaffold,0,1,0.0,44813.68,0.0
Bid Item 15B Partial,1,1,1.0,43900.0,1.0
Traffic Control Plans,0,2,0.0,43750.0,0.0
Bid Item R-19,0,1,0.0,43471.0,0.0
Special Paving,0,1,0.0,43470.0,0.0
Special Paving at Crosswalk,0,1,0.0,43470.0,0.0
Tree Removal & Disposal,0,2,0.0,41600.0,0.0
Profiling and CAD Design,0,1,0.0,40000.0,0.0
CIPP Lining,0,1,0.0,38550.0,0.0
CIPL,0,1,0.0,38550.0,0.0
Transportation of Class II Waste to Landfill,1,1,1.0,36000.0,1.0
Structural calculation services,1,1,1.0,35000.0,1.0
Saw Cutting - Partial,1,1,1.0,31250.0,1.0
Reinforcing Steel,1,1,1.0,30940.0,1.0
Raise Manholes to Grade & Stockpile Management,1,1,1.0,30000.0,1.0
Bid Item 7,0,1,0.0,30000.0,0.0
Grinding,1,2,0.5,29800.0,0.6711409395973155
Lining,0,1,0.0,28240.0,0.0
CIPL Work,0,1,0.0,26555.0,0.0
Paving/Exc,0,1,0.0,25500.0,0.0
Coating ,0,1,0.0,25350.0,0.0
Haz Haul (as needed),0,1,0.0,20000.0,0.0
Large Manhole Base,1,1,1.0,20000.0,1.0
Concrete Manhole,1,1,1.0,20000.0,1.0
Misc Metals,1,1,1.0,19980.0,1.0
Materials Testing and Inspection Services,1,1,1.0,12335.0,1.0
Bid Items 6 & 7,1,1,1.0,12000.0,1.0
Electric Work,1,1,1.0,11500.0,1.0
Crane and rigging,0,1,0.0,11000.0,0.0
Cathodic protection,0,1,0.0,10500.0,0.0
Bid Item 17 (Partial),1,1,1.0,10000.0,1.0
Coating/Painting,0,1,0.0,10000.0,0.0
"AC Paving, Mill",0,1,0.0,10000.0,0.0
Traffic control plans and CPM Scheduling,0,1,0.0,7700.0,0.0
Temp Wildlife Exclusion Fence (Bid Item C-3),1,1,1.0,6292.0,1.0
Testing,0,1,0.0,3000.0,0.0
Wildlife Exclusion Fence,0,1,0.0,1642.0,0.0
